変換元の文字（JISX0213：1-4水）				コード変換（1対1変換）			文字列変換（追加非漢字や、1対ｎの文字変換を行う）									備考
面区点コード	Unicode	字形	JIS区分	面区点コード	Unicode	字形	面区点コード①	面区点コード②	面区点コード③	面区点コード④	Unicode①	Unicode②	Unicode③	Unicode④	字形	
01-01-01	u+3000	　	非漢字	01-01-01	u+3000	　										
01-01-02	u+3001	、	非漢字	01-01-02	u+3001	、										
01-01-03	u+3002	。	非漢字	01-01-03	u+3002	。										
01-01-04	u+ff0c	，	非漢字	01-01-04	u+ff0c	，										
01-01-05	u+ff0e	．	非漢字	01-01-05	u+ff0e	．										
01-01-06	u+30fb	・	非漢字	01-01-06	u+30fb	・										
01-01-07	u+ff1a	：	非漢字	01-01-07	u+ff1a	：										
01-01-08	u+ff1b	；	非漢字	01-01-08	u+ff1b	；										
01-01-09	u+ff1f	？	非漢字	01-01-09	u+ff1f	？										
01-01-10	u+ff01	！	非漢字	01-01-10	u+ff01	！										
01-01-11	u+309b	゛	非漢字	01-01-11	u+309b	゛										
01-01-12	u+309c	゜	非漢字	01-01-12	u+309c	゜										
01-01-13	u+00b4	´	非漢字	01-01-13	u+00b4	´										
01-01-14	u+ff40	｀	非漢字	01-01-14	u+ff40	｀										
01-01-15	u+00a8	¨	非漢字	01-01-15	u+00a8	¨										
01-01-16	u+ff3e	＾	非漢字	01-01-16	u+ff3e	＾										
01-01-17	u+ffe3	￣	非漢字	01-01-17	u+ffe3	￣										
01-01-18	u+ff3f	＿	非漢字	01-01-18	u+ff3f	＿										
01-01-19	u+30fd	ヽ	非漢字	01-01-19	u+30fd	ヽ										
01-01-20	u+30fe	ヾ	非漢字	01-01-20	u+30fe	ヾ										
01-01-21	u+309d	ゝ	非漢字	01-01-21	u+309d	ゝ										
01-01-22	u+309e	ゞ	非漢字	01-01-22	u+309e	ゞ										
01-01-23	u+3003	〃	非漢字	01-01-23	u+3003	〃										
01-01-24	u+4edd	仝	非漢字	01-01-24	u+4edd	仝										
01-01-25	u+3005	々	非漢字	01-01-25	u+3005	々										
01-01-26	u+3006	〆	非漢字	01-01-26	u+3006	〆										
01-01-27	u+3007	〇	非漢字	01-01-27	u+3007	〇										
01-01-28	u+30fc	ー	非漢字	01-01-28	u+30fc	ー										
01-01-29	u+2015	―	非漢字	01-01-29	u+2015	―										類似字形u+2014は本文字に変換する。
01-01-30	u+2010	‐	非漢字	01-01-30	u+2010	‐										
01-01-31	u+ff0f	／	非漢字	01-01-31	u+ff0f	／										
01-01-32	u+ff3c	＼	非漢字	01-01-32	u+ff3c	＼										
01-01-33	u+ff5e	～	非漢字	01-01-33	u+ff5e	～										類似字形u+301cは本文字に変換する。
01-01-34	u+2225	∥	非漢字	01-01-34	u+2225	∥										類似字形u+2016は本文字に変換する。
01-01-35	u+ff5c	｜	非漢字	01-01-35	u+ff5c	｜										
01-01-36	u+2026	…	非漢字	01-01-36	u+2026	…										
01-01-37	u+2025	‥	非漢字	01-01-37	u+2025	‥										
01-01-38	u+2018	‘	非漢字	01-01-38	u+2018	‘										
01-01-39	u+2019	’	非漢字	01-01-39	u+2019	’										
01-01-40	u+201c	“	非漢字	01-01-40	u+201c	“										
01-01-41	u+201d	”	非漢字	01-01-41	u+201d	”										
01-01-42	u+ff08	（	非漢字	01-01-42	u+ff08	（										
01-01-43	u+ff09	）	非漢字	01-01-43	u+ff09	）										
01-01-44	u+3014	〔	非漢字	01-01-44	u+3014	〔										
01-01-45	u+3015	〕	非漢字	01-01-45	u+3015	〕										
01-01-46	u+ff3b	［	非漢字	01-01-46	u+ff3b	［										
01-01-47	u+ff3d	］	非漢字	01-01-47	u+ff3d	］										
01-01-48	u+ff5b	｛	非漢字	01-01-48	u+ff5b	｛										
01-01-49	u+ff5d	｝	非漢字	01-01-49	u+ff5d	｝										
01-01-50	u+3008	〈	非漢字	01-01-50	u+3008	〈										
01-01-51	u+3009	〉	非漢字	01-01-51	u+3009	〉										
01-01-52	u+300a	《	非漢字	01-01-52	u+300a	《										
01-01-53	u+300b	》	非漢字	01-01-53	u+300b	》										
01-01-54	u+300c	「	非漢字	01-01-54	u+300c	「										
01-01-55	u+300d	」	非漢字	01-01-55	u+300d	」										
01-01-56	u+300e	『	非漢字	01-01-56	u+300e	『										
01-01-57	u+300f	』	非漢字	01-01-57	u+300f	』										
01-01-58	u+3010	【	非漢字	01-01-58	u+3010	【										
01-01-59	u+3011	】	非漢字	01-01-59	u+3011	】										
01-01-60	u+ff0b	＋	非漢字	01-01-60	u+ff0b	＋										
01-01-61	u+ff0d	－	非漢字	01-01-61	u+ff0d	－										類似字形u+2212は本文字に変換する。
01-01-62	u+00b1	±	非漢字	01-01-62	u+00b1	±										
01-01-63	u+00d7	×	非漢字	01-01-63	u+00d7	×										
01-01-64	u+00f7	÷	非漢字	01-01-64	u+00f7	÷										
01-01-65	u+ff1d	＝	非漢字	01-01-65	u+ff1d	＝										
01-01-66	u+2260	≠	非漢字	01-01-66	u+2260	≠										
01-01-67	u+ff1c	＜	非漢字	01-01-67	u+ff1c	＜										
01-01-68	u+ff1e	＞	非漢字	01-01-68	u+ff1e	＞										
01-01-69	u+2266	≦	非漢字	01-01-69	u+2266	≦										
01-01-70	u+2267	≧	非漢字	01-01-70	u+2267	≧										
01-01-71	u+221e	∞	非漢字	01-01-71	u+221e	∞										
01-01-72	u+2234	∴	非漢字	01-01-72	u+2234	∴										
01-01-73	u+2642	♂	非漢字	01-01-73	u+2642	♂										
01-01-74	u+2640	♀	非漢字	01-01-74	u+2640	♀										
01-01-75	u+00b0	°	非漢字	01-01-75	u+00b0	°										
01-01-76	u+2032	′	非漢字	01-01-76	u+2032	′										
01-01-77	u+2033	″	非漢字	01-01-77	u+2033	″										
01-01-78	u+2103	℃	非漢字	01-01-78	u+2103	℃										
01-01-79	u+ffe5	￥	非漢字	01-01-79	u+ffe5	￥										
01-01-80	u+ff04	＄	非漢字	01-01-80	u+ff04	＄										
01-01-81	u+ffe0	￠	非漢字	01-01-81	u+ffe0	￠										類似字形u+00a2は本文字に変換する。
01-01-82	u+ffe1	￡	非漢字	01-01-82	u+ffe1	￡										類似字形u+00a3は本文字に変換する。
01-01-83	u+ff05	％	非漢字	01-01-83	u+ff05	％										
01-01-84	u+ff03	＃	非漢字	01-01-84	u+ff03	＃										
01-01-85	u+ff06	＆	非漢字	01-01-85	u+ff06	＆										
01-01-86	u+ff0a	＊	非漢字	01-01-86	u+ff0a	＊										
01-01-87	u+ff20	＠	非漢字	01-01-87	u+ff20	＠										
01-01-88	u+00a7	§	非漢字	01-01-88	u+00a7	§										
01-01-89	u+2606	☆	非漢字	01-01-89	u+2606	☆										
01-01-90	u+2605	★	非漢字	01-01-90	u+2605	★										
01-01-91	u+25cb	○	非漢字	01-01-91	u+25cb	○										
01-01-92	u+25cf	●	非漢字	01-01-92	u+25cf	●										
01-01-93	u+25ce	◎	非漢字	01-01-93	u+25ce	◎										
01-01-94	u+25c7	◇	非漢字	01-01-94	u+25c7	◇										
01-02-01	u+25c6	◆	非漢字	01-02-01	u+25c6	◆										
01-02-02	u+25a1	□	非漢字	01-02-02	u+25a1	□										
01-02-03	u+25a0	■	非漢字	01-02-03	u+25a0	■										
01-02-04	u+25b3	△	非漢字	01-02-04	u+25b3	△										
01-02-05	u+25b2	▲	非漢字	01-02-05	u+25b2	▲										
01-02-06	u+25bd	▽	非漢字	01-02-06	u+25bd	▽										
01-02-07	u+25bc	▼	非漢字	01-02-07	u+25bc	▼										
01-02-08	u+203b	※	非漢字	01-02-08	u+203b	※										
01-02-09	u+3012	〒	非漢字	01-02-09	u+3012	〒										
01-02-10	u+2192	→	非漢字	01-02-10	u+2192	→										
01-02-11	u+2190	←	非漢字	01-02-11	u+2190	←										
01-02-12	u+2191	↑	非漢字	01-02-12	u+2191	↑										
01-02-13	u+2193	↓	非漢字	01-02-13	u+2193	↓										
01-02-14	u+3013	〓	非漢字	01-02-14	u+3013	〓										
01-02-15	u+ff07	＇	追加非漢字													
01-02-16	u+ff02	＂	追加非漢字													
01-02-19	u+3033	〳	追加非漢字													
01-02-20	u+3034	〴	追加非漢字													
01-02-21	u+3035	〵	追加非漢字													
01-02-22	u+303b	〻	追加非漢字													
01-02-23	u+303c	〼	追加非漢字													
01-02-24	u+30ff	ヿ	追加非漢字													
01-02-25	u+309f	ゟ	追加非漢字													
01-02-26	u+2208	∈	非漢字	01-02-26	u+2208	∈										
01-02-27	u+220b	∋	非漢字	01-02-27	u+220b	∋										
01-02-28	u+2286	⊆	非漢字	01-02-28	u+2286	⊆										
01-02-29	u+2287	⊇	非漢字	01-02-29	u+2287	⊇										
01-02-30	u+2282	⊂	非漢字	01-02-30	u+2282	⊂										
01-02-31	u+2283	⊃	非漢字	01-02-31	u+2283	⊃										
01-02-32	u+222a	∪	非漢字	01-02-32	u+222a	∪										
01-02-33	u+2229	∩	非漢字	01-02-33	u+2229	∩										
01-02-34	u+2284	⊄	追加非漢字													
01-02-35	u+2285	⊅	追加非漢字													
01-02-36	u+228a	⊊	追加非漢字													
