3	1-16-7	1-16-7	6328	6328		
5	1-59-3	1-59-3	66D6	66D6		
10	1-16-24	1-16-24	5B9B	5B9B		
11	1-45-82	1-45-82	5D50	5D50		
24	1-16-58	1-16-58	754F	754F		
29	1-16-64	1-16-64	840E	840E		
31	1-16-56	1-16-56	6905	6905		
32	1-55-35	1-55-35	5F59	5F59		
44	1-16-81	1-16-81	8328	8328		
49	1-16-86	1-16-86	54BD	54BD		
53	1-16-92	1-16-92	6DEB	6DEB	other	
62	1-17-20	1-17-20	5504	5504		
63	1-61-21	1-61-21	9B31	9B31		
91	1-17-69	1-17-69	6028	6028		
93	1-41-18	1-41-18	5A9B	5A9B		
103	1-17-80	1-17-80	8276	8276		
111	1-18-2	1-18-2	65FA	65FA		
118	1-18-12	1-18-12	5CA1	5CA1		
122	1-18-18	1-18-18	81C6	81C6		
125	1-18-22	1-18-22	4FFA	4FFA		
143	1-18-55	1-18-55	82DB	82DB		
164	1-18-71	1-18-71	7259	7259		
165	1-20-4	1-20-4	74E6	74E6		
190	1-60-20	1-60-20	6977	6977		
192	1-36-57	1-36-57	6F70	6F70		
195	1-75-63	1-75-63	8AE7	8AE7		
200	1-19-19	1-19-19	5D16	5D16		
204	1-19-24	1-19-24	84CB	84CB		
207	1-19-28	1-19-28	9AB8	9AB8		
209	1-19-33	1-19-33	67FF	67FF		
230	1-19-60	1-19-60	984E	984E		
238	1-19-75	1-19-75	845B	845B	other	
244	1-19-88	1-19-88	91DC	91DC		
245	1-19-89	1-19-89	938C	938C		
289	1-20-58	1-20-58	97D3	97D3		
296	1-20-65	1-20-65	73A9	73A9		
302	1-20-76	1-20-76	4F0E	4F0E		
324	1-21-21	1-21-21	4E80	4E80		
332	1-52-44	1-52-44	6BC0	6BC0		
335	1-21-6	1-21-6	757F	757F		
368	1-17-17	1-17-17	81FC	81FC		
379	1-51-44	1-51-44	55C5	55C5		
428	1-22-50	1-22-50	5DFE	5DFE		
437	1-22-47	1-22-47	50C5	50C5	other	
440	1-22-51	1-22-51	9326	9326		
