8264	2FF0:91D2:7C9B
8269	22049
82A6	2F8A8
82A7	2F811
82A8	2F946
82AB	2F940
83C4	7957
84EF	2F909
854A	7D70
8A50	2B136
8F53	23415
8F5C	2F968
90B0	2F8B6
90B1	2F9DA
91C7	2BA4F
91C8	31F00
91CF	2CEB0
91D1	233B3
91D3	20086
91D9	20089
91DB	38FA
91E3	9FB7
91E4	4E31
91E6	2F81D
91E7	2010C 31D9
91E8	4DB9
91E9	21FE8 31DB
9246	284DC
9257	2F835
9259	2F8A3
925A	2F901
9272	2F9B3
927E	2F827
92A1	27AF4
92A5	242F1
92BF	2F908
92C4	2F959
92D7	2F8BB
935A	2F80A
935F	2F8AB
936E	2F84C
9378	2F8B0
93B4	2F8E2
93BE	2F8C8
93C0	2F805
93C8	2F829
93CA	2F8B5
94D2	8977
954B	5553
95AC	66C1
95CE	25081
95D0	21E01
95D4	2FF8:7592:22349
95E6	5B82
95F4	805A
9646	2E868
96AC	2E325
96B0	20BE4
96B7	20C40
96BB	25493
96BF	26B4C
96C2	24284
96C5	212C4
96CC	2DEB7
96E0	2AE67
97FD	0021:20DD
97FE	003F:20DD
9BE7	1D5C0
9BEA	1D5BA
9BEB	1D5BB
9BEC	1D5BD
9BED	1D5BE
9BEE	1D5BF
9BEF	1D5C1
9BF0	1D5C2
9BF1	1D5C3
9BF2	1D5C4
9BF3	1D5C5
9BF4	1D5C6
9BF5	1D5C7
9BF6	1D5C8
9BF7	1D5C9
9BF8	1D5CB
9BF9	1D5CC
9BFA	1D5CD
9BFB	1D5CE
9BFC	1D5CF
9BFD	1D5D0
9BFE	1D5D3
9CC9	31D1
9CCE	20628
9CD1	9FB1
9CD6	31D4
9CD7	2B820
9CDD	20087
9CDE	200CA 31D7
9CDF	31DF
9CE3	31DA
9CE4	200CC 31C6
9CE5	31D2
9CE6	2008A 2E88
9CE7	31CF
9CF7	25AD7
9D41	1F81A
9D42	1F818
9D43	1F819
9D44	1F81B
9D5F	1F616
9D60	1F625
9D61	1F60C
9D62	1F622
9D63	1F632
9D6A	1F9B6
9D70	269B
9D78	1F5B1
9D79	1F5B3
9D7C	1F3B2
9DA6	1F93A
9DA7	1F3CB
9DA9	1F6B4
9DBD	1F3E0
9DCC	1F6AD
9DD3	26A1
9DD4	1F5DD
9DD6	1F571
9DDF	1F498
9DEA	1F47B
9DEB	1F68C
9DEC	1F697
9FEC	1D7F8
A043	20F90
A07D	21735
A0A3	28468
A0A5	201FA
A0A6	3139C
C6BF	31D4
C6C0	31D3
C6C1	31DA
FB47	20C96
FB48	20C78
FB49	21075
FB4B	20EA2
FB4F	22B43
FB50	20779
FB51	28365
FB54	20CD4
FB59	20DA7
FB60	282E2
FB61	24ABB
FB62	20E9D
FB68	27A3E
FB71	5ED0
FB74	26258
FB75	2688A
FB77	20C41
FB79	20E76
FB7B	22EB3
FBBB	201F2
FBC0	4FF2
FBE0	20F3B
FBE3	21014
FBE6	2BA74
FBEE	58FB
FBF4	21DD1
FBF9	21F0F
FC40	2FF9:5F0B:4E36
FC46	2251B
FC70	2A2B2
FCA3	24011
FCAA	20666
FCAB	24364
FCB8	23C62
FCCD	257C7
FCD6	2176D
FCE0	25C21
FCEE	25F1A
FD40	2690E
FD44	267CC
FD4B	27486
FD5A	3DDB
FD5C	22C62
FD78	2A64A
FDA8	2837D
FDAD	2B473
FDC0	28E39
FDC2	28E97
FE46	2AE1C
FE47	24943
FE65	21A4B
FE69	2438C
FE6B	2555B
FE6C	29D98
FE70	2496B
FE72	2FF0:738B:22F60
FE73	24ABC
FEA2	5910
FEA9	26C21
FEAE	2B0CE
