81DD	1F210
81FA	1F229
8340	2E93
834E	2EC5
8350	2EC9
8351	2ECB
8363	2ED3
8364	2ED4
83A3	2ED9
83A4	2EDA
83A5	2EDB
83A6	2EDC
83E9	2EE2
84BE	2EE5
84BF	2EE6
84C1	2EE7
87A2	2EEC
88C7	2EEE
89C5	2EF0
89C6	2EF3
8E64	2EEA
91C9	2EA4
91D2	2EA2
91D3	2E81
91D5	2EBA
91D6	2EC2
93B7	2EE7
9755	3251
9756	3252
9757	3253
9758	3254
9759	3255
975A	3256
975B	3257
975C	3258
975D	3259
975E	325A
975F	325B
9760	325C
9761	325D
9762	325E
9763	325F
9764	32B1
9765	32B2
9766	32B3
9767	32B4
9768	32B5
9769	32B6
976A	32B7
976B	32B8
976C	32B9
976D	32BA
976E	32BB
976F	32BC
9770	32BD
9771	32BE
9772	32BF
9840	24FF
984B	24EB
984C	24EC
984D	24ED
984E	24EE
984F	24EF
9850	24F0
9851	24F1
9852	24F2
9853	24F3
9854	24F4
98C7	1F150
98C8	1F151
98C9	1F152
98CA	1F153
98CB	1F154
98CC	1F155
98CD	1F156
98CE	1F157
98CF	1F158
98D0	1F159
98D1	1F15A
98D2	1F15B
98D3	1F15C
98D4	1F15D
98D5	1F15E
98D6	1F15F
98D7	1F160
98D8	1F161
98D9	1F162
98DA	1F163
98DB	1F164
98DC	1F165
98DD	1F166
98DE	1F167
98DF	1F168
98E0	1F169
99C7	1F110
99C8	1F111
99C9	1F112
99CA	1F113
99CB	1F114
99CC	1F115
99CD	1F116
99CE	1F117
99CF	1F118
99D0	1F119
99D1	1F11A
99D2	1F11B
99D3	1F11C
99D4	1F11D
99D5	1F11E
99D6	1F11F
99D7	1F120
99D8	1F121
99D9	1F122
99DA	1F123
99DB	1F124
99DC	1F125
99DD	1F126
99DE	1F127
99DF	1F128
99E0	1F129
9A40	1F100
9AFB	FE10
9AFC	FE11
9AFD	FE12
9B40	2240
9CCA	2E93
9CD2	2EBE
9CE0	2ECE
9CE8	2E82
9CEA	2ECB
9CEB	2EB0
9CEC	2EC8
9CED	2EC9
9CEE	2EE6
9CEF	2ED4
9CF0	2ED0
9CF1	2ED6
9CF2	2E98
9CF3	2EA1
9CF4	2E85
9CF5	2E96
9CF6	2EA3
9D56	1F323
9D58	1F31E
9D59	1F31B
9D5A	2728
9D64	1F43C
9D67	1F56E
9D68	2711
9D69	1F58B
9D71	1F4BB
9D72	1F5B6
9D73	1F4BE
9D74	1F5AA
9D75	1F5CE
9D76	1F4C4
9D7B	1F4E0
9DB9	1F324
9DBB	1F327
9DCA	1F57E
9DCB	1F4F1
9DD2	1F4CA
9E5D	0023:FE0F:20E3
9E62	002A:FE0F:20E3
9E65	0030:FE0F:20E3
9E66	0031:FE0F:20E3
9E67	0032:FE0F:20E3
9E68	0033:FE0F:20E3
9E69	0034:FE0F:20E3
9E6A	0035:FE0F:20E3
9E6B	0036:FE0F:20E3
9E6C	0037:FE0F:20E3
9E6D	0038:FE0F:20E3
9E6E	0039:FE0F:20E3
9E6F	0030:FE0F:20E3
9F6C	1FB2D
9F6D	1FB02
9F6E	1FB1E
9F6F	1FB0F
9F70	1FB01
9F71	1FB00
9FAA	1D4D0
9FAB	1D4D1
9FAC	1D4D2
9FAD	1D4D3
9FAE	1D4D4
9FAF	1D4D5
9FB0	1D4D6
9FB1	1D4D7
9FB2	1D4D8
9FB3	1D4D9
9FB4	1D4DA
9FB5	1D4DB
9FB6	1D4DC
9FB7	1D4DD
9FB8	1D4DE
9FB9	1D4DF
9FBA	1D4E0
9FBB	1D4E1
9FBC	1D4E2
9FBD	1D4E3
9FBE	1D4E4
9FBF	1D4E5
9FC0	1D4E6
9FC1	1D4E7
9FC2	1D4E8
9FC3	1D4E9
9FC4	1D4EA
9FC5	1D4EB
9FC6	1D4EC
9FC7	1D4ED
9FC8	1D4EE
9FC9	1D4EF
9FCA	1D4F0
9FCB	1D4F1
9FCC	1D4F2
9FCD	1D4F3
9FCE	1D4F4
9FCF	1D4F5
9FD0	1D4F6
9FD1	1D4F7
9FD2	1D4F8
9FD3	1D4F9
9FD4	1D4FA
9FD5	1D4FB
9FD6	1D4FC
9FD7	1D4FD
9FD8	1D4FE
9FD9	1D4FF
9FDA	1D500
9FDB	1D501
9FDC	1D502
9FDD	1D503
9FEA	1D7F6
9FEB	1D7F7
9FED	1D7F9
9FEE	1D7FA
9FEF	1D7FB
9FF0	1D7FC
9FF1	1D7FD
9FF2	1D7FE
9FF3	1D7FF
9FF4	1FBF0
9FF5	1FBF1
9FF6	1FBF2
9FF7	1FBF3
9FF8	1FBF4
9FF9	1FBF5
9FFA	1FBF6
9FFB	1FBF7
9FFC	1FBF8
9FFD	1FBF9
C6CD	2E93
FEBB	2150
FEC5	2151
FECB	2152
