C6A1	30FE
C6A2	309D
C6A3	309E
C6A4	3005
C6A5	3041
C6A6	3042
C6A7	3043
C6A8	3044
C6A9	3045
C6AA	3046
C6AB	3047
C6AC	3048
C6AD	3049
C6AE	304A
C6AF	304B
C6B0	304C
C6B1	304D
C6B2	304E
C6B3	304F
C6B4	3050
C6B5	3051
C6B6	3052
C6B7	3053
C6B8	3054
C6B9	3055
C6BA	3056
C6BB	3057
C6BC	3058
C6BD	3059
C6BE	305A
C6BF	305B
C6C0	305C
C6C1	305D
C6C2	305E
C6C3	305F
C6C4	3060
C6C5	3061
C6C6	3062
C6C7	3063
C6C8	3064
C6C9	3065
C6CA	3066
C6CB	3067
C6CC	3068
C6CD	3069
C6CE	306A
C6CF	306B
C6D0	306C
C6D1	306D
C6D2	306E
C6D3	306F
C6D4	3070
C6D5	3071
C6D6	3072
C6D7	3073
C6D8	3074
C6D9	3075
C6DA	3076
C6DB	3077
C6DC	3078
C6DD	3079
C6DE	307A
C6DF	307B
C6E0	307C
C6E1	307D
C6E2	307E
C6E3	307F
C6E4	3080
C6E5	3081
C6E6	3082
C6E7	3083
C6E8	3084
C6E9	3085
C6EA	3086
C6EB	3087
C6EC	3088
C6ED	3089
C6EE	308A
C6EF	308B
C6F0	308C
C6F1	308D
C6F2	308E
C6F3	308F
C6F4	3090
C6F5	3091
C6F6	3092
C6F7	3093
C6F8	30A1
C6F9	30A2
C6FA	30A3
C6FB	30A4
C6FC	30A5
C6FD	30A6
C6FE	30A7
C740	30A8
C741	30A9
C742	30AA
C743	30AB
C744	30AC
C745	30AD
C746	30AE
C747	30AF
C748	30B0
C749	30B1
C74A	30B2
C74B	30B3
C74C	30B4
C74D	30B5
C74E	30B6
C74F	30B7
C750	30B8
C751	30B9
C752	30BA
C753	30BB
C754	30BC
C755	30BD
C756	30BE
C757	30BF
C758	30C0
C759	30C1
C75A	30C2
C75B	30C3
C75C	30C4
C75D	30C5
C75E	30C6
C75F	30C7
C760	30C8
C761	30C9
C762	30CA
C763	30CB
C764	30CC
C765	30CD
C766	30CE
C767	30CF
C768	30D0
C769	30D1
C76A	30D2
C76B	30D3
C76C	30D4
C76D	30D5
C76E	30D6
C76F	30D7
C770	30D8
C771	30D9
C772	30DA
C773	30DB
C774	30DC
C775	30DD
C776	30DE
C777	30DF
C778	30E0
C779	30E1
C77A	30E2
C77B	30E3
C77C	30E4
C77D	30E5
C77E	30E6
C7A1	30E7
C7A2	30E8
C7A3	30E9
C7A4	30EA
C7A5	30EB
C7A6	30EC
C7A7	30ED
C7A8	30EE
C7A9	30EF
C7AA	30F0
C7AB	30F1
C7AC	30F2
C7AD	30F3
C7AE	30F4
C7AF	30F5
C7B0	30F6
C7B1	0414
C7B2	0415
C7B3	0401
C7B4	0416
C7B5	0417
C7B6	0418
C7B7	0419
C7B8	041A
C7B9	041B
C7BA	041C
C7BB	0423
C7BC	0424
C7BD	0425
C7BE	0426
C7BF	0427
C7C0	0428
C7C1	0429
C7C2	042A
C7C3	042B
C7C4	042C
C7C5	042D
C7C6	042E
C7C7	042F
C7C8	0430
C7C9	0431
C7CA	0432
C7CB	0433
C7CC	0434
C7CD	0435
C7CE	0451
C7CF	0436
C7D0	0437
C7D1	0438
C7D2	0439
C7D3	043A
C7D4	043B
C7D5	043C
C7D6	043D
C7D7	043E
C7D8	043F
C7D9	0440
C7DA	0441
C7DB	0442
C7DC	0443
C7DD	0444
C7DE	0445
C7DF	0446
C7E0	0447
C7E1	0448
C7E2	0449
C7E3	044A
C7E4	044B
C7E5	044C
C7E6	044D
C7E7	044E
C7E8	044F
C7E9	2460
C7EA	2461
C7EB	2462
C7EC	2463
C7ED	2464
C7EE	2465
C7EF	2466
C7F0	2467
C7F1	2468
C7F2	2469
C7F3	2474
C7F4	2475
C7F5	2476
C7F6	2477
C7F7	2478
C7F8	2479
C7F9	247A
C7FA	247B
C7FB	247C
C7FC	247D
