8FA8	270F0
91B5	2A3ED
91DE	30001
9447	E6C5
9841	278A
9842	278B
9843	278C
9844	278D
9845	278E
9846	278F
9847	2790
9848	2791
9849	2792
984A	2793
9B4C	3BA3
9BD5	014B
9D4F	261D
9D73	9FD0
9EE5	47B6
A145	2022
A14E	FF64
A155	FE31
A156	2014 2015
A157	FE32
A158	FE58
A1F2	2641
A1FD	FF5C
A2A4	2501
A2A5	251D
A2A6	253F
A2A7	2525
C6BF	2F02
C6C0	2F03
C6C1	2F05
C6C2	2F07
C6C3	2F0C
C6C4	2F0D
C6C5	2F0E
C6C6	2F13
C6C7	2F16
C6C8	2F19
C6C9	2F1B
C6CA	2F22
C6CB	2F27
C6CC	2F2E
C6CE	2F34
C6CF	2F35
C6D0	2F39
C6D1	2F3A
C6D2	2F41
C6D3	2F46
C6D4	2F67
C6D5	2F68
C6D6	2FA1
C6D7	2FAA
C6D9	FF3E
C6DE	02BA
C94A	5140
DDFC	55C0
E67C	2486F
EC75	4C45
F286	6491
F287	691E
F288	6EB8
F289	309B
F28A	309C
F28B	2010
F28C	00B4
F28D	2033
F28E	3013
F28F	2208
F290	220B
F291	2286
F292	2287
F293	2282
F294	2283
F295	2227
F296	2228
F297	21D2
F298	21D4
F299	2200
F29A	2203
F29B	2312
F29C	2202
F29D	2207
F29E	226A
F29F	226B
F2A0	223D
F381	221D
F382	222C
F383	212B
F384	2030
F385	266F
F386	266D
F387	266A
F388	2020
F389	2021
F38A	00B6
F38B	25EF
F38C	2501
F38D	2503
F38E	250F
F38F	2513
F390	251B
F391	2517
F392	2523
F393	2533
F394	252B
F395	253B
F396	254B
F397	2520
F398	252F
F399	2528
F39A	2537
F39B	253F
F39C	251D
F39D	2530
F39E	2525
F39F	2538
F3A0	2542
F481	4E00
F482	4E28
F483	4E59
F484	4E8C
F485	4EBA
F486	513F
F487	5165
F488	516B
F489	51E0
F48A	51F5
F48B	5200
F48C	529B
F48D	5315
F48E	531A
F48F	5341
F490	535C
F491	5382
F492	53C8
F493	53E3
F494	56D7
F495	571F
F496	58EB
F497	5915
F498	5927
F499	5973
F49A	5B50
F49B	5BF8
F49C	5C0F
F49D	5C22
F49E	5C38
F49F	5C6E
F4A0	5C71
F581	5DE5
F582	5DF1
F583	5DFE
F584	5E72
F585	5EFE
F586	5F0B
F587	5F13
F588	5F73
F589	5FC3
F58A	6208
F58B	6236
F58C	624B
F58D	652F
F58E	6587
F58F	6597
F590	65A4
F591	65B9
F592	65E5
F593	66F0
F594	6708
F595	6728
F596	6B20
F597	6B62
F598	6B79
F599	6BB3
F59A	6BCB
F59B	6BD4
F59C	6BDB
F59D	6C0F
F59E	6C14
F59F	6C34
F5A0	706B
F681	722A
F682	7236
F683	723B
F684	723F
F685	7247
F686	7259
F687	725B
F688	72AC
F689	7384
F68A	7389
F68B	74DC
F68C	74E6
F68D	7518
F68E	751F
F68F	7528
F690	7530
F691	758B
F692	767D
F693	76AE
F694	76BF
F695	76EE
F696	77DB
F697	77E2
F698	77F3
F699	793A
F69A	79B8
F69B	79BE
F69C	7A74
F69D	7ACB
F69E	7AF9
F69F	7C73
F6A0	7CF8
F6DD	21FD2
F781	7F36
F782	7F51
F783	7F8A
F784	7FBD
F785	8001
F786	800C
F787	8012
F788	8033
F789	807F
F78A	8089
F78B	81E3
F78C	81EA
F78D	81F3
F78E	81FC
F78F	820C
F790	821B
F791	821F
F792	826E
F793	8272
F794	8278
F795	864D
F796	866B
F797	8840
F798	884C
F799	8863
F79A	897E
F79B	898B
F79C	89D2
F79D	8A00
F79E	8C37
F79F	8C46
F7A0	8C55
F881	8C78
F882	8C9D
F883	8D64
F884	8D70
F885	8DB3
F886	8EAB
F887	8ECA
F888	8F9B
F889	8FB0
F88A	9091
F88B	9149
F88C	91C6
F88D	91CC
F88E	91D1
F88F	9577
F890	9580
F891	961C
F892	96B9
F893	96E8
F894	9752
F895	975E
F896	9762
F897	9769
F898	97CB
F899	97ED
F89A	97F3
F89B	9801
F89C	98A8
F89D	98DB
F89E	98DF
F89F	9996
F8A0	9999
F981	99AC
F982	9AA8
F983	9AD8
F984	9ADF
F985	9B25
F986	9B2F
F987	9B32
F988	9B3C
F989	9B5A
F98A	9CE5
F98B	9E75
F98C	9E7F
F98D	9EA5
F98E	9EBB
F98F	9EC3
F990	9ECD
F991	9ED1
F992	9EF9
F993	9EFD
F994	9F0E
F995	9F13
F996	9F20
F997	9F3B
F998	9F4A
F999	9F52
F99A	9F8D
F99B	9F9C
F99C	9FA0
F9FA	2554
F9FB	2557
F9FC	255A
F9FD	255D
FAC5	3039
