1-0-1	FF64
1-0-11	FFE3
1-0-12	30FD
1-0-13	30FE
1-0-14	309D
1-0-15	309E
1-0-16	3003
1-0-17	4EDD
1-0-19	3006
1-0-2	FF61
1-0-20	3007
1-0-24	005C
1-0-25	2016
1-0-29	2026
1-0-30	2025
1-0-32	201C
1-0-33	3014
1-0-34	3015
1-0-35	3008
1-0-36	3009
1-0-37	300A
1-0-38	300B
1-0-39	FF62
1-0-4	FF65
1-0-40	FF63
1-0-41	300E
1-0-42	300F
1-0-43	3010
1-0-44	3011
1-0-45	00B1
1-0-46	00D7
1-0-47	00F7
1-0-48	2260
1-0-49	2266
1-0-5	FF9E
1-0-50	2267
1-0-51	221E
1-0-52	2234
1-0-53	2642
1-0-54	2640
1-0-55	00B0
1-0-56	2103
1-0-57	00A2
1-0-58	00A3
1-0-59	00A7
1-0-6	FF9F
1-0-60	2606
1-0-61	2605
1-0-62	25CB
1-0-63	25CF
1-0-64	2032
1-0-65	2033
1-0-7	00B4
1-0-79	25CE
1-0-8	FF40
1-0-80	25C7
1-0-81	25C6
1-0-82	25A1
1-0-83	25A0
1-0-84	25B3
1-0-85	25B2
1-0-86	25BD
1-0-87	25BC
1-0-88	203B
1-0-89	3012
1-0-9	00A8
1-0-90	2192
1-0-91	2190
1-0-92	2191
1-0-93	2193
1-0-94	3013
1-11-15	FE47
1-11-16	3007 FE48
1-11-22	FE19
1-11-23	2026
1-11-28	2223
1-11-42	00AB
1-11-43	00BB
1-11-48	1F4B2
1-11-49	FF04
1-11-50	FFE0
1-11-52	FFE1
1-11-53	FFE5
1-11-58	FF03
1-11-59	FF05
1-11-60	214C
1-11-61	FF20
1-11-65	2105
1-11-66	FF06
1-11-70	FF0A
1-11-8	FF3F
1-12-10	2F07
1-12-11	2F08
1-12-12	2F09
1-12-13	2F0A
1-12-14	2F0B
1-12-15	2F0C
1-12-16	2F0D
1-12-17	2F0E
1-12-18	2F0F
1-12-19	2F10
1-12-2	2F00
1-12-20	2F11
1-12-21	2F12
1-12-22	2F13
1-12-23	2F14
1-12-24	2F15
1-12-25	2F16
1-12-26	2F17
1-12-27	2F18
1-12-28	2F19
1-12-29	2F1A
1-12-3	2F01
1-12-30	2F1B
1-12-31	2F1C
1-12-33	2F1D
1-12-34	2F1E
1-12-35	2F1F
1-12-36	2F20
1-12-37	2F21
1-12-38	2F22
1-12-39	2F23
1-12-4	2F02
1-12-40	2F24
1-12-41	2F25
1-12-42	2F26
1-12-43	2F27
1-12-44	2F28
1-12-45	2F29
1-12-46	2F2A
1-12-47	2F2B
1-12-48	2F2C
1-12-49	2F2D
1-12-5	2F03
1-12-50	2F2E
1-12-51	2F2F
1-12-52	2F30
1-12-53	2F31
1-12-54	2F32
1-12-55	2F33
1-12-56	2F34
1-12-57	2F35
1-12-58	2F36
1-12-59	2F37
1-12-6	2F04
1-12-60	2F38
1-12-61	2F39
