1-16-1	13-16-1
1-16-1	19-16-1
1-16-1	43-16-1
1-16-10	13-16-10
1-16-11	13-16-11
1-16-13	13-16-13
1-16-13	25-16-13
1-16-13	31-16-13
1-16-14	13-16-14
1-16-15	43-16-15
1-16-16	13-16-16
1-16-18	1-17-39
1-16-18	13-16-18
1-16-18	13-17-39
1-16-18	7-16-18
1-16-20	13-16-20
1-16-24	13-16-24
1-16-26	19-16-26
1-16-26	25-16-26
1-16-27	13-16-27
1-16-29	13-16-29
1-16-3	13-16-3
1-16-31	13-16-31
1-16-37	13-16-37
1-16-44	19-16-44
1-16-44	25-16-44
1-16-44	31-16-44
1-16-44	37-16-44
1-16-44	7-16-44
1-16-44	7-28-71
1-16-45	7-16-45
1-16-48	13-16-48
1-16-48	43-16-48
1-16-49	13-16-49
1-16-49	19-16-49
1-16-49	37-16-49
1-16-49	43-16-49
1-16-49	49-16-49
1-16-5	13-16-5
1-16-50	13-16-50
1-16-50	25-16-50
1-16-50	43-16-50
1-16-51	13-16-51
1-16-52	25-16-52
1-16-55	49-16-55
1-16-56	13-16-56
1-16-56	7-16-56
1-16-58	19-16-58
1-16-59	13-16-59
1-16-59	19-16-59
1-16-6	13-16-6
1-16-60	13-16-60
1-16-61	13-16-61
1-16-63	13-16-63
1-16-64	19-16-64
1-16-65	13-16-65
1-16-68	13-16-68
1-16-7	13-16-7
1-16-70	19-16-70
1-16-72	1-18-14
1-16-72	7-18-14
1-16-73	13-16-73
1-16-76	13-16-76
1-16-76	19-16-76
1-16-76	43-16-76
1-16-8	13-16-8
1-16-82	43-16-82
1-16-86	19-16-86
1-16-86	25-16-86
1-16-88	13-16-88
1-16-88	19-16-88
1-16-88	25-16-88
1-16-88	31-16-88
1-16-92	13-16-92
1-17-1	13-17-1
1-17-13	43-17-13
1-17-16	43-17-16
1-17-18	13-17-18
1-17-24	7-17-24
1-17-26	13-17-26
1-17-28	7-17-28
1-17-31	13-17-31
1-17-32	13-17-32
1-17-34	13-17-34
1-17-39	13-17-39
1-17-42	13-17-42
1-17-44	13-17-44
1-17-44	19-17-44
1-17-44	43-17-44
1-17-44	7-17-44
1-17-46	13-17-46
1-17-47	13-17-47
1-17-47	7-17-47
1-17-5	13-17-5
1-17-50	13-17-50
1-17-51	13-17-51
1-17-54	13-17-54
1-17-55	19-17-55
1-17-55	25-17-55
1-17-55	7-17-55
1-17-57	13-17-57
1-17-57	19-17-57
1-17-59	13-17-59
1-17-60	13-17-60
1-17-61	7-17-61
1-17-63	13-17-63
1-17-68	13-17-68
1-17-69	1-72-77
1-17-69	13-17-69
1-17-69	25-17-69
1-17-70	13-17-70
1-17-73	1-48-78
1-17-73	1-49-85
1-17-73	19-49-85
1-17-73	7-17-73
1-17-73	7-49-85
1-17-74	43-17-74
1-17-76	7-17-76
1-17-83	7-17-83
1-17-86	13-17-86
1-17-87	13-17-87
1-17-89	13-17-89
1-17-89	7-17-89
1-17-92	43-17-92
1-17-93	13-17-93
1-18-13	7-18-13
1-18-14	7-18-14
1-18-17	43-18-17
1-18-19	7-18-19
1-18-2	13-18-2
1-18-21	7-18-21
1-18-24	7-18-24
1-18-28	19-18-28
1-18-29	13-18-29
1-18-30	7-18-30
1-18-32	13-18-32
1-18-32	19-18-32
1-18-32	7-18-32
1-18-33	7-18-33
1-18-35	7-18-35
1-18-36	7-18-36
1-18-38	25-18-38
1-18-38	7-18-38
1-18-39	7-18-39
1-18-4	13-18-4
1-18-4	7-18-4
1-18-40	43-18-40
