あかし	明 赤
あき	秋 飽
あく	明 飽
あくる	明 開
あけ	明 朱 開
あし	悪 芦 蘆
あふ	合 逢
あま	天 尼 雨
あめ	天 雨
あや	文 綾
いく	幾 生 行
いる	入 射
う	憂 鶯
うき	憂 泥 浮
うみ	憂 海
うら	心 浦 裏
えに	江 縁
おき	沖 置 起
おく	奥 置 起
おと	訪 音
おり	下 織
かげ	光 影
かた	型 方 潟 肩 難
かたみ	互 筐 難
かは	川 彼
かひ	匙 卵 峡 殻 貝
かみ	神 紙
かり	仮 借 狩
かる	借 刈 枯 狩 離
かれ	枯 渇 離
きく	聞 菊
きつ	来 着
きり	切 霧
きる	着 霧
くゆる	悔 薫
くる	来 繰 苦
こ	子 木 籠 蚕
こがれ	漕 焦
こと	事 琴 異 言
さす	射 閉
さる	去 然
しか	然 鹿
しのぶ	偲 忍
しもと	笞 苔 霜
しら	白 知
すみ	住 墨 澄
せ	瀬 狭 背
たつ	発 立 絶 裁 龍
たび	度 旅
つく	付 尽 着
つま	妻 端 褄
ながめ	眺 詠 長
なき	泣 渚 無 鳴
なみ	波 浪 涙 無
なる	慣 成 萎 馴 鳴
ね	子 寝 根 音
はつ	初 果
はな	花 鼻
はやく	夙 早
はる	張 春
ひ	日 火
ひく	引 弾
ふし	伏 節
ふみ	文 踏
ふる	古 振 故 旧 経 降
まつ	待 松
み	実 御 見 身
みの	実 蓑 身
め	布 目
もる	守 洩 漏 盛
やみ	止 闇
ゆき	幸 雪
よ	世 代 夜 節
よる	夜 寄 縒
